Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish,OD,AD,BAC,Foreign,AC,ETC,,
25292,Lahore Water and Waste Water Management Project - Construction of Surface Water Treatment Plant at BRBD Canal Lahore.,WASA Lahore,HUD&PHED,North Single,15-Sept-18,30-Jun-28,119,41,21045.71,1,119.35,20633.47,,
25616,Punjab Rozgar,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,1-Apr-20,29-Jun-26,76,32,10000.00,0,4790.25,4509.75,,
26186,Rehabilitation and Modernization of Islam Barrage,Irrigation,Irrigation,South Single,31-Dec-19,31-Dec-25,73,33,2993.18,1,4801.27,0.00,,
26215,Establishment of 200 Bedded Mother & Child Hospital in District Layyah,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Jul-25,53,26,5944.23,0,5444.23,0.00,,
26216,Establishment of 300-Bedded DHQ Hospital Mianwali (New Block) ,Infrastructure Development Authority Punjab (IDAP),Health & Population Department,North Single,30-Jul-19,30-Jun-25,72,36,7997.45,0,7996.45,0.00,,
27463,Construction of MPA Hostel Lahore Phase II ,Communication & Works Department,Provincial Assembly,North Single,1-Jul-19,30-Jun-27,97,37,6296.75,0,2480.68,2816.07,,
28143,Establishment of Tertiary Care Hospital (Nishtar -II)- Multan ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,South Single,1-Jul-19,30-Jun-26,85,37,13368.64,0,9992.60,2957.04,,
28430,Construction of four(04) sewage treatment plants and required sewerage lines under Phase-I(Rawal Lake and its surroundings including the Catchment area. 36% GoPb share),WASA Rawalpindi,HUD&PHED,North Single,1-Mar-19,30-Jun-26,89,39,5244.70,0,0.00,5243.70,,
28453,Establishment of Teaching Hospital (Sheikh Zayed-II)- Rahim Yar Khan ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,South Single,1-Jul-19,30-Jun-26,85,37,7066.90,0,3440.00,3376.90,,
28611,Construction of Eastern Wastewater Treatment Plant 33 MGD of Faisalabad City Phase-I (DANIDA Assisted).,WASA Faisalabad,HUD&PHED,North Single,28-Jul-20,31-Aug-30,123,30,56036.79,1,366.29,37954.85,,
28867,Dualization of Muzaffargarh Road (Jauharabad – Chowk Girote)- Length 25 Km- District Khushab,Communication & Works Department,Communication & Works Department,North Single,1-Jul-19,30-Jun-28,110,37,3460.09,0,2390.60,992.49,,
29597,Heritage and Urban Regeneration in Lahore Fort (AFD Funded),LG&CD Department,LG&CD Department,North Single,7-Jul-22,6-Jul-27,61,18,4036.59,1,540.00,2812.79,,
29674,Establishment of University of Child Health Sciences at Lahore ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,1-Jul-21,29-Jun-26,61,24,4265.75,0,1500.00,2265.75,,
29687,Punjab Agriculture Food and Drug Authority,Infrastructure Development Authority Punjab (IDAP),Home Department,North Single,1-Jul-18,30-Jun-25,85,43,15610.27,0,15610.27,0.00,,
29722,Program to Uplift Water Supply & Sanitation Infrastructure in Underdeveloped Areas of Punjab.,Water Supply & Sanitation,HUD&PHED,Punjab Based,1-Jul-19,30-Jun-26,85,37,3608.64,0,3206.04,229.88,,
29781,Construction of Punjab Judicial Academy at Kala Shah Kaku Lahore (Phase-II),Communication & Works Department,Law & Parliamentary Affairs,North Single,1-Jul-19,30-Jun-25,73,37,3323.77,0,1847.98,1425.79,,
29803,Project Readiness Financing (PRF) for Punjab Provincial Projects- Punjab Intermediate Cities Improvement Investment Program (PHASE-II),LG&CD Department,LG&CD Department,Multiple Region,30-Nov-20,28-Jun-25,56,28,4625.52,1,2531.00,2054.52,,
29829,Punjab Cities Programme- TA Component,LG&CD Department,World Bank,Multiple Region,1-Jul-19,31-Mar-26,82,37,3058.00,1,2120.00,68.00,,
29843,Re-construction of Old P&D Building- Lahore,S&GAD,S&GAD,North Single,1-Jul-23,30-Jun-26,37,12,5867.61,0,5000.00,866.61,,
29938,Establishment of 200 Bedded Mother & Child Hospital in District Rajanpur,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Mar-24,37,26,9028.75,0,3867.03,5160.72,,
30164,Dualization of Sialkot Pasrur Road- District Sialkot,Communication & Works Department,Communication & Works Department- Government of Punjab,North Single,2-Sept-19,29-Jun-28,107,35,6494.73,0,6156.63,297.10,,
30169,Construction of Flyover at Nadirabad Phatak to Industrial Estate - Multan.,Communication & Works Department,Roads,South Single,4-Feb-20,30-Jun-28,102,33,5377.16,0,4114.32,1162.85,,
30179,Dualization of Lodhran Kheror Pacca- Malsi Vehari Road District Lodhran (Phase-II) Remaining 20 Km,Communication & Works Department,Communication & Works Department- Government of Punjab,South Single,2-Sept-19,29-Jun-28,107,35,4242.28,0,1607.82,2518.46,,
30442,Dualization / Improvement of Multan Mattital Road (length 21 Kms) District Multan,Communication & Works Department,Communication & Works Department- Government of Punjab,South Single,2-Sept-19,30-Jun-28,107,35,2618.16,0,2166.30,397.87,,
32587,Design and Construction of Net Zero Energy Building (ACEIP - DLI-8),Energy Department,Energy Department,North Single,1-Jul-20,30-Jun-27,85,30,5781.95,0,2085.00,3505.15,,
32737,Punjab Human Capital Investment Project (PHCIP) ,Primary and Secondary Healthcare Department- Punjab Social Protection Authority- School Education Department,Planning & Development Board- Punjab,Multiple Region,30-Apr-20,30-Jun-26,75,31,41664.00,1,31811.00,167.00,,
32962,Enhanced Air Quality Monitoring System In Punjab (DLI-2- PGDP) ,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,1-Jul-21,30-Jun-25,49,24,5205.30,0,3398.50,1026.80,,
33405,Establishment of Mother & Child Block- Teaching Hospital- DG Khan ,Communication & Works Department- DG Khan Medical College,Specialized Healthcare and Medical Education Department,South Single,1-Jul-20,30-Jun-26,73,30,4463.76,0,1081.94,2381.82,,
33884,Enhanced Water Quality Monitoring System In Punjab (DLI-2- PGDP),Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,1-Jul-20,30-Jun-24,49,30,2972.72,0,1144.90,1197.82,,
34010,Extension of Colony Protection Bund of Marala Barrage and Realignment of Tunnelwah Nullah in Sialkot District,Irrigation,Irrigation,North Single,1-Jul-20,30-Jun-26,73,30,3162.29,0,708.00,1854.29,,
34257,Establishment of 200 Bedded Mother & Child Hospital in District Bahawalnagar,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,1-Mar-21,30-Jun-25,53,26,6385.33,0,3375.34,2010.00,,
34384,Construction of South Punjab Secretariat & GOR At Bahawalpur and Multan ,Infrastructure Development Authority Punjab (IDAP),S&GAD SPb,South Single,11-Feb-21,30-Jun-25,53,27,7407.03,0,3522.37,3883.65,,
34413,Induction of Eco-Friendly Buses in Cities of Punjab (DLI-6 PGDP),Punjab Transport Company (PTC)- GoPb- Transport & Masstransit Department- GoPb,Transport & Masstransit Department- GoPb,North Single,3-Nov-23,31-May-26,31,10,4582.59,0,4151.78,215.81,,
34447,Extension of District Courts Complex Multan,Communication & Works Department- Infrastructure Development Authority Punjab (IDAP),Judiciary,South Single,10-Feb-22,30-Jun-27,66,21,5624.02,0,2448.45,3075.56,,
34471,Provision of Infrastructural- Academic and Operational Facilities to the Punjab University of Technology- Rasul- M.B.Din ,Communication & Works Department,Commerce & Investment,North Single,1-Jul-21,29-Jun-26,61,24,7525.54,0,5049.41,2076.13,,
34473,Upgradation of DHQ Hospital District Hafizabad ,Health & Population Department,Federal Fund- Health & Population Department,North Single,24-Mar-21,30-Jun-24,40,26,9795.18,0,6013.84,2781.34,,
35568,Koh-E-Suleman Improvement Project (KSIP),Planning & Development Board- Punjab,Planning & Development Board- Punjab,South Single,1-Jul-21,30-Jun-26,61,24,5712.00,0,3573.03,168.97,,
35606,Establishment of Public Financial Management Unit (PFMU)- Finance Department & Program Support Unit (PSU) Planning & Development Board under Punjab Resource Improvement and Digital Effectiveness (PRIDE)-TA Component,Finance Department- Planning & Development Board- Punjab,Planning & Development Board- Punjab,Punjab Based,1-Jul-21,30-Jun-25,49,24,4968.60,1,253.77,4636.82,,
35995,Construction of Sorra Dam,Irrigation,Irrigation,South Single,1-Jul-21,30-Jun-26,61,24,8151.58,0,1392.00,6049.58,,
36137,Establishment of University of Applied Engineering and Emerging Technologies (UAEET)- Sialkot,Infrastructure Development Authority Punjab (IDAP),Higher Education Department,North Single,8-Sept-21,30-Jun-27,71,23,17685.70,0,3169.79,14415.92,,
36262,Punjab Rural Sustainable Water Supply and Sanitation Project,LG&CD Department,LG&CD Department,Punjab Based,1-Jul-21,30-Jun-28,85,24,96202.00,1,39125.00,30705.20,,
36267,Establishment of University of Gujranwala,Higher Education Department,Higher Education Department,North Single,22-Aug-23,30-Jun-26,35,11,5299.71,0,1335.59,3914.12,,
36391,Establishment of Emergency and OPD Block Teaching Hospital- DG Khan ,Communication & Works Department- DG Khan Medical College,Specialized Healthcare and Medical Education Department,South Single,1-Jul-21,29-Jun-26,61,24,4035.18,0,1111.57,1923.61,,
36494,Establishment of 200 Bedded Mother & Child Hospital at Ghalla Godam- Multan,Communication & Works Department- Nishtar Medical University & Allied Hospital- Multan,Specialized Healthcare and Medical Education Department,South Single,7-Apr-21,30-Jun-26,64,26,8116.78,0,2931.75,4685.02,,
37208,Implementation of Universal Health Coverage under Health Insurance Program in Punjab ,Punjab Health Initiative Management Company (PHIMC)- Specialized Healthcare and Medical Education Department,Specialized Healthcare and Medical Education Department,Punjab Based,1-Jul-21,30-Jun-26,61,24,332845.00,0,200499.00,107346.00,,
37327,Land Acquisition & Utility Shifting for Dualization of Faisalabad - Chiniot - Sargodha Road (Length =67 Km) - Under PPP Mode,Roads,Communication & Works Department,North Single,10-May-21,30-Jun-26,63,25,3494.39,0,3127.25,323.14,,
37474,Improving Workforce Readiness in Punjab Project (Cost: FEC $100m- Local $10m),Skill Development & Entrepreneurship Department,Skill Development & Entrepreneurship Department,Punjab Based,13-Jan-23,29-Dec-28,73,15,23982.00,1,6510.31,14327.39,,
40989,Umbrella PC-I for provision of land Acquisition / Compensation of structure and PST pertaining to PSDP funded schemes.,Communication & Works Department,Government of Punjab,South Single,1-Jul-21,30-Jun-26,61,24,9816.48,0,7011.65,2747.83,,
43417,Punjab Urban Land Systems Enhancements (PULSE),BOR- Punjab Land Records Authority (PLRA),World Bank,Punjab Based,1-Jul-22,30-Jun-27,61,18,26440.70,1,1479.67,14811.03,,
44394,Construction of Bachelor accommodation and Judicial Rest House at Dharampura- District Lahore,Communication & Works Department,Judiciary,North Single,1-Jul-22,29-Jun-26,49,18,3687.00,0,3452.96,184.04,,
44493,Strengthening of Punjab Tianjin University of Technology (PTUT)- Lahore,Communication & Works Department- Punjab Tianjin University of Technology (PTUT),Industries- Commerce & Investment,North Single,1-Jul-22,29-Jun-26,49,18,6281.65,0,293.96,5707.69,,
45184,Establishment of Mir Chakar Khan Rind University of Technology- Dera Ghazi Khan,Communication & Works Department- Industries- Commerce & Investment,Industries- Commerce & Investment,South Single,1-Jul-22,30-Jun-26,49,18,4639.23,0,273.00,4116.23,,
45331,Punjab Resilient and Inclusive Agriculture Transformation (PRIAT) (2022-23 to 2026-27),Agriculture Department,Agriculture Department- Government of Punjab,Punjab Based,1-Jul-22,30-Jun-27,61,18,54935.56,1,37250.32,3761.62,,
45369,Construction Of Green Building for EMC- EPD and Allied New Entities Established Under PGDP (DLI-2- PGDP),Infrastructure Development Authority Punjab (IDAP),Environment Protection & Climate Change Department,North Single,1-Jul-22,30-Jun-26,49,18,3723.93,0,2378.00,7.33,,
45600,Construction of Rawalpindi Ring Road-R3(38.3 KM) Main Carriageway (MCW) from Banth (N-5) to Thalian (M-2),RDA,HUD&PHED,North Single,8-Mar-22,29-Jun-26,52,20,32997.05,0,22987.99,1209.07,,
45713,Jinnah Institute of Cardiology- Lahore,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,17-Mar-22,29-Jun-26,52,20,8837.53,0,6016.08,0.00,,
46285,Punjab affordable Housing Project (TA Component),Punjab Housing and Town Planning Agency (PHATA),HUD&PHED,Punjab Based,2-Mar-23,13-Jun-28,64,14,3000.00,1,513.58,1906.42,,
46296,Construction of Arterial Main Secondary and Distribution Network in the Areas in the Eastern Part of City (Linked with AFD Funded Extension of Water Resources in Faisalabad City Phase-II Project),WASA Faisalabad,HUD&PHED,North Single,14-Sept-23,30-Jun-28,58,11,8453.61,0,1466.07,5987.54,,
46458,Program for Provision of Missing Facilities in Newly Upgraded Colleges of Nursing in Punjab ,Communication & Works Department- D.G Nursing Punjab,Specialized Healthcare and Medical Education Department,Punjab Based,1-Jul-22,30-Jun-26,49,18,2612.67,0,2411.79,0.00,,
47202,National Health Support Program (NHSP) (TA Component),Health & Population Department,Health & Population Department,Punjab Based,1-Jul-22,31-Dec-26,55,18,6382.78,1,534.24,5355.55,,
47203,Punjab Family Planning Program (Technical Assistance Component),Health & Population Department,Health & Population Department,Punjab Based,1-Jul-23,30-Jun-27,49,12,4282.35,1,1885.05,1045.90,,
47404,Construction of Dual Carriageway from Sheikh Fazal to Chichawatni - Length-24.15 Km,Roads,Roads,North Single,1-Jul-22,30-Jun-26,49,18,4596.26,0,4594.26,0.00,,
47476,Widening / Improvement of Manga Raiwind Road- Length 18.00 Km.,Communication & Works Department,Government of Punjab,North Single,1-Jul-22,30-Jun-26,49,18,2609.29,0,1939.95,589.34,,
47540,Rehabilitation of Faisalabad circular road / By Pass Ring Length = 97.80 Km.,Roads,Roads,North Single,1-Jul-22,30-Jun-26,49,18,7064.50,0,7060.50,3.90,,
47576,Rehabilitation of Khushab Muzaffar Garh road Km No. 70.70 to 134.80 (District boundary Khushab to Daal More) District Jhang,Roads,Roads,North Single,1-Jul-22,30-Jun-26,49,18,2967.82,0,2387.12,510.70,,
47593,Rehabilitation of Akwal-Tammun-Multan Khurdh- Shah Muhammad Wali to CPEC Tarap Interchange L = 49.00 Km ,Communication & Works Department,Government of Punjab,North Single,1-Jul-22,30-Jun-26,49,18,2616.40,0,2606.40,0.00,,
47606,Rehabilitation of Dual Carriageway Kasur Depalpur road Length 98.95 Km District Kasur & Okara,Roads,Roads,North Single,1-Jul-22,30-Jun-26,49,18,6997.31,0,6996.31,0.00,,
47609,Rehabilitation / Improvement of Lahore Jaranwala road Length 99.00 Km District Sheikhupura.,Roads,Roads,North Single,1-Jul-22,30-Jun-26,49,18,6995.51,0,4579.31,2276.20,,
47610,Rehabilitation of metalled road Sahiwal to Pakpattan Length 40.00 Km- District Sahiwal,Communication & Works Department- Roads,Communication & Works Department- Roads,North Single,1-Jul-22,30-Jun-26,49,18,4223.43,0,4091.87,0.00,,
47845,Rehabilitation of Shahdara - Maqboolpura - Kala Khatai - Narang Mandi Road Length=34.11 Km in Tehsil Ferozewala District Sheikhupura,Communication & Works Department,Communication & Works Department,North Single,1-Jul-22,30-Jun-26,49,18,3515.73,0,3473.29,0.00,,
49249,Construction/ Widening / Improvement of Road from Hafizabad to Gujrat via Head Khanki along L.C.C Mian Canal- Length = 45.00 Km- District Hafizabad & Gujranwala ,Roads,Roads,North Single,21-Nov-22,30-Jun-26,44,16,8296.55,0,3322.36,4877.20,,
52129,Construction of New Courts Blocks at the Site of old Administration Block at Lahore High Court- Lahore,Communication & Works Department,Judiciary,North Single,31-May-23,29-Jun-27,50,13,5671.38,0,2945.00,1926.38,,
52357,Re-construction of Lady Willingdon Hospital- Lahore,Infrastructure Development Authority Punjab (IDAP)- King Edward Medical University,Specialized Healthcare and Medical Education Department,North Single,21-Aug-23,30-Jun-26,35,11,7508.45,0,4173.00,2599.45,,
52419,Development of a Controlled Access Corridor Facility from Niazi Interchange to to Babu Sabu Interchange Lahore,LDA,HUD&PHED,North Single,8-Sept-23,30-Jun-26,34,11,11355.16,0,11354.16,0.00,,
52466,Rehabilitation and Development of Qila Kohna Qasim Bagh (QKQB) for the Promotion of Tourism and Preservation of Tangible and Intangible Heritage- Multan,Walled City of Lahore Authority,LG&CD Department,South Single,13-Nov-23,29-Jun-26,32,10,2781.41,0,400.00,2281.41,,
52527,Implementation of Flood Protection Sector Project-III (FPSP-III),Irrigation,Irrigation,Punjab Based,1-Jul-23,30-Jun-26,37,12,2971.00,0,0.00,2970.00,,
55079,Construction of 313 Residences for Police Officers/ Official (BS 1-20) at Lahore (Phase-I),Communication & Works Department,Police Department,North Single,1-Jan-24,31-Dec-26,37,9,2941.35,0,2773.27,118.08,,
55128,Integrated Master Planning and Development / Expansion of Data Darbar Complex- Including Traffic Management,Auqaf & Religious Affairs- Communication & Works Department- LDA,Auqaf & Religious Affairs,North Single,31-Jan-24,30-Jun-27,42,9,6392.80,0,355.95,5036.85,,
55613,Getting Results Access and Delivery of Quality Education Services (GRADES),Communication & Works Department- Programme Monitoring and Implementation Unit (PMIU-PESRP)- Punjab Curriculum and Textbook Board (PCTB)- Punjab Education Foundation (PEF)- Punjab Examination Commission (PEC)- Quaid-e-Azam Academy for Educational Development (QAED)- School Education Department,World Bank,Punjab Based,19-Jun-24,21-Jun-29,61,6,41671.37,1,0.00,36671.37,,
55616,Rehabilitation of Multan-Vehari Road Length 93.5 Km.,Communication & Works Department,Communication & Works Department,South Single,1-Sept-24,30-Jun-28,47,5,13000.00,0,2000.00,6500.00,,
55619,Dualization of Faisalabad Chiniot Sargodha road from Kamalpur Interchange to Tehsil chowk Chiniot- District Faisalabad & Chiniot Length 24.00 Km.,Communication & Works Department,Communication & Works Department,North Single,1-Mar-24,30-Jun-26,28,8,7575.43,0,3000.00,2535.43,,
55629,Smart Safe Cities for 19 Districts (Phase II),Punjab Safe Cities Authority (PSCA),Police Department,Multiple Region,1-Jul-24,30-Jun-25,12,6,5645.91,0,3087.20,12.80,,
55681,Punjab Socio Economic Registry (PSER),Bureau of Statistics Punjab- District Administration- Punjab Information Technology Board (PITB)- Punjab Social Protection Authority- Urban Unit,Planning & Development Board- Punjab,Punjab Based,1-Jul-24,30-Jun-27,36,6,5112.68,0,1357.27,1706.84,,
55791,Establishment of Nawaz Sharif Institute of Cancer Treatment and Research- Lahore ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,1-Jul-24,28-Feb-27,32,6,52772.52,0,14250.80,26521.72,,
55881,Developing Resilient Environment and Advancing Municipal Services (DREAMS-I),LG&CD Department,Asian Development Bank (ADB),Multiple Region,1-Jul-24,28-Jun-28,49,6,64480.71,1,5783.00,54682.71,,
55924,Nawaz Sharif Institute of Cardiology- Sargodha ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,1-Jul-24,31-Jan-26,19,6,8568.21,0,6000.00,0.00,,
55925,"Chief Minister’s ""Plant for Pakistan"" Initiative",Forestry- Transport,Forestry- Government of Punjab,Punjab Based,1-Apr-24,30-Jun-28,52,8,8000.00,0,1800.00,1958.57,,
55972,Aquaculture: Shrimp Farming in Punjab.,Communication & Works Department- Fisheries,Forestry-WildLife-Fisheries,Multiple Region,1-Jul-24,29-Jun-28,49,6,5010.35,0,896.92,335.77,,
56111,Rehabilitation of Sahiwal Arifwala road upto District Boundary- Length = 27.00 Km- in District Sahiwal.,Communication & Works Department,Government of Punjab,North Single,1-Jul-24,30-Jun-26,24,6,5334.12,0,2708.00,1385.70,,
56114,Rehabilitation / Improvement of road from Fatehjang to Pidigheb road via Dhullian Km 13 to 57.50 Length = 44.50 Tehsil Fatehjang & Pindigheb District Attock,Communication & Works Department,Communication & Works Department,North Single,20-Sept-24,27-Sept-28,49,5,4703.32,0,1451.00,1626.32,,
56116,Rehabilitation of Talagang – Kallar Kahar – Choa Saiden Shah Road.,Communication & Works Department,Communication & Works Department,North Single,15-Aug-24,30-Jun-28,47,5,5163.44,0,2287.00,1438.44,,
56123,Rehabilitatation of road from Bahawalnagar to Head Sulemanki Length: 75.00 Km District Bahawalnagar ,Communication & Works Department,Communication & Works Department,South Single,2-Sept-24,30-Jun-28,47,5,6781.31,0,1688.00,2793.31,,
56137,Rehabilitation of road from Shahpur and Jhal Chakian to Bhalwal via Lak Morr Length (38.40+23.00) Total Length 61.40 Km in District Sargodha,Communication & Works Department,Communication & Works Department,North Single,1-Apr-24,30-Jun-28,52,8,4148.03,0,3758.00,195.03,,
56162,Rehabilitation of G.T road from Chan Da Qila to Aziz Cross Chowk in Gujranwala City Length 12.75 Km District Gujranwala,Communication & Works Department,Communication & Works Department,North Single,1-Apr-24,30-Jun-28,52,8,5729.35,0,4046.00,1441.35,,
56164,Rehabilitation of Jhang Bhakkar road from Mallu More to Bharairhi Km no. 231.00 to 272.00- Length 41.00 Km- District Jhang,Roads,Roads,North Single,1-Jul-24,30-Jun-26,24,6,3200.00,0,2000.73,599.28,,
56174,Rehabilitation of Gujrat Sargodha road Km 27.90 to 122.20 (Dual Carriageway) Length 94.30 Km District M.B.Din,Communication & Works Department,Communication & Works Department,North Single,1-Apr-24,30-Jun-28,52,8,9802.06,0,1270.00,4532.06,,
56176,Rehabilitation of Muridke Narowal road (Section Muridke to District Boundary) Sheikhupura. ,Communication & Works Department,Communication & Works Department,North Single,1-Apr-24,30-Jun-26,27,8,8698.86,0,2336.00,3362.86,,
56177,Rehabilitation / Re-Construction of road from Narowal to Muridke (Length Km No.0.00 to 33.21 = 33.21 Km upto District Boundary) District Narowal,Communication & Works Department,Communication & Works Department,North Single,1-Apr-24,30-Jun-28,52,8,6151.53,0,2335.00,1908.53,,
56186,Rehabilitation / Improvement of Sahiwal – Arifwala - Bahawalnagar Road- (Section District Pakpattan) Length = 40.25 Km in District Pakpattan. ,Communication & Works Department,Communication & Works Department,North Single,1-Jul-24,30-Jun-27,36,6,7648.03,0,3338.00,2243.06,,
56191,Development of Urban Bus Depots & Allied Infrastructure- Faisalabad,Punjab Transport Company (PTC)- GoPb,Transport & Masstransit Department- GoPb,North Single,1-Aug-24,30-Jun-25,11,6,4304.51,0,0.00,3804.51,,
56209,Construction of Residences for Officials (Grade 1-10) of Lahore High Court at Harbanspura- Lahore,Communication & Works Department,Judiciary,North Single,1-Jul-24,30-Jun-27,36,6,2672.08,0,10.00,2462.08,,
57298,Concrete Lining of Irrigation Channels to Improve Water Delivery Performance and Conveyance Efficiency-III,Irrigation,Irrigation,Punjab Based,1-Jul-24,6-Jun-28,48,6,3995.29,0,400.00,1195.29,,
57384,Chief Minister Punjab Free Solar Panel Scheme,Energy Department,Energy Department,Punjab Based,1-Jul-24,30-Sept-25,15,6,9975.39,0,5772.84,326.40,,
57896,Program for Revamping of RHCs (Phase-II),Communication & Works Department- Health & Population Department,Health & Population Department,Punjab Based,1-Jul-24,30-Jun-26,24,6,4288.96,0,2144.48,0.00,,
57897,Program for Revamping of BHUs of North and Central Punjab (Phase-II),Communication & Works Department- Health & Population Department,Health & Population Department,Punjab Based,1-Jul-24,30-Jun-26,24,6,9594.42,0,4797.21,0.00,,
57924,CM Punjab Laptop Program ,Punjab Information Technology Board (PITB),Higher Education Department,Punjab Based,1-Jul-24,30-Jun-26,24,6,27000.00,0,8042.00,3958.00,,
57946,Central Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,1-Nov-24,31-Oct-27,36,4,4757.20,0,911.58,2785.94,,
58083,Chief Minister Punjab Kissan Card (2024-25 to 2025-26),Agriculture Department,Agriculture Department,Punjab Based,1-Jul-24,30-Jun-26,24,6,9000.00,0,2700.00,0.00,,
